❯ python3 testIris.py                                             ─╯
Unique values in each attr:  [32, 21, 40, 22]
# of bits needed for each attr:  [5, 5, 6, 5]
################## Print Start ##################
Attributes: ('sepal_length', 'sepal_width', 'petal_length', 'petal_width')
Target: Iris
Classes: ['Iris-setosa' 'Iris-versicolor' 'Iris-virginica']
Data size: 100
Attribute Values {'sepal_length': array([43, 44, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61,
       62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 76, 77, 79],
      dtype=int32), 'sepal_width': array([20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37,
       38, 39, 40, 41], dtype=int32), 'petal_length': array([10, 11, 12, 13, 14, 15, 16, 17, 19, 30, 33, 35, 37, 38, 39, 40, 41,
       42, 43, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60,
       61, 63, 64, 66, 67, 69], dtype=int32), 'petal_width': array([ 1,  2,  3,  4,  5,  6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20,
       21, 22, 23, 24, 25], dtype=int32)}
Individual Length: 44
Target encoding:  {'00': 'Iris-setosa', '01': 'Iris-versicolor', '10': 'Iris-virginica'}
################## Print End ##################

Generation: 0 | Best Fitness: 0.16 | Running Fitness: 0.16 | Train Accuracy: 0.4 | Test Accuracy: 0.52
Generation: 1 | Best Fitness: 0.185 | Running Fitness: 0.185 | Train Accuracy: 0.43 | Test Accuracy: 0.54
Generation: 2 | Best Fitness: 0.194 | Running Fitness: 0.194 | Train Accuracy: 0.44 | Test Accuracy: 0.56
Generation: 3 | Best Fitness: 0.202 | Running Fitness: 0.202 | Train Accuracy: 0.45 | Test Accuracy: 0.48
Generation: 4 | Best Fitness: 0.25 | Running Fitness: 0.25 | Train Accuracy: 0.5 | Test Accuracy: 0.64
Generation: 5 | Best Fitness: 0.26 | Running Fitness: 0.26 | Train Accuracy: 0.51 | Test Accuracy: 0.58
Generation: 6 | Best Fitness: 0.26 | Running Fitness: 0.25 | Train Accuracy: 0.51 | Test Accuracy: 0.58
Generation: 7 | Best Fitness: 0.281 | Running Fitness: 0.281 | Train Accuracy: 0.53 | Test Accuracy: 0.64
Generation: 8 | Best Fitness: 0.292 | Running Fitness: 0.292 | Train Accuracy: 0.54 | Test Accuracy: 0.62
Generation: 9 | Best Fitness: 0.303 | Running Fitness: 0.303 | Train Accuracy: 0.55 | Test Accuracy: 0.6
Generation: 10 | Best Fitness: 0.303 | Running Fitness: 0.303 | Train Accuracy: 0.55 | Test Accuracy: 0.6
Generation: 11 | Best Fitness: 0.303 | Running Fitness: 0.303 | Train Accuracy: 0.55 | Test Accuracy: 0.6
Generation: 12 | Best Fitness: 0.325 | Running Fitness: 0.325 | Train Accuracy: 0.57 | Test Accuracy: 0.64
Generation: 13 | Best Fitness: 0.336 | Running Fitness: 0.336 | Train Accuracy: 0.58 | Test Accuracy: 0.66
Generation: 14 | Best Fitness: 0.336 | Running Fitness: 0.336 | Train Accuracy: 0.58 | Test Accuracy: 0.66
Generation: 15 | Best Fitness: 0.372 | Running Fitness: 0.372 | Train Accuracy: 0.61 | Test Accuracy: 0.6
Generation: 16 | Best Fitness: 0.49 | Running Fitness: 0.49 | Train Accuracy: 0.7 | Test Accuracy: 0.74
Generation: 17 | Best Fitness: 0.49 | Running Fitness: 0.49 | Train Accuracy: 0.7 | Test Accuracy: 0.74
Generation: 18 | Best Fitness: 0.49 | Running Fitness: 0.49 | Train Accuracy: 0.7 | Test Accuracy: 0.74
Generation: 19 | Best Fitness: 0.49 | Running Fitness: 0.462 | Train Accuracy: 0.7 | Test Accuracy: 0.74
Generation: 20 | Best Fitness: 0.518 | Running Fitness: 0.518 | Train Accuracy: 0.72 | Test Accuracy: 0.78
Generation: 21 | Best Fitness: 0.518 | Running Fitness: 0.36 | Train Accuracy: 0.72 | Test Accuracy: 0.78
Generation: 22 | Best Fitness: 0.518 | Running Fitness: 0.372 | Train Accuracy: 0.72 | Test Accuracy: 0.78
Generation: 23 | Best Fitness: 0.518 | Running Fitness: 0.372 | Train Accuracy: 0.72 | Test Accuracy: 0.78
Generation: 24 | Best Fitness: 0.518 | Running Fitness: 0.372 | Train Accuracy: 0.72 | Test Accuracy: 0.78
Generation: 25 | Best Fitness: 0.518 | Running Fitness: 0.372 | Train Accuracy: 0.72 | Test Accuracy: 0.78
Generation: 26 | Best Fitness: 0.518 | Running Fitness: 0.436 | Train Accuracy: 0.72 | Test Accuracy: 0.78
Generation: 27 | Best Fitness: 0.518 | Running Fitness: 0.504 | Train Accuracy: 0.72 | Test Accuracy: 0.78
Generation: 28 | Best Fitness: 0.562 | Running Fitness: 0.562 | Train Accuracy: 0.75 | Test Accuracy: 0.78
Generation: 29 | Best Fitness: 0.578 | Running Fitness: 0.578 | Train Accuracy: 0.76 | Test Accuracy: 0.78
Generation: 30 | Best Fitness: 0.578 | Running Fitness: 0.562 | Train Accuracy: 0.76 | Test Accuracy: 0.78
Generation: 31 | Best Fitness: 0.578 | Running Fitness: 0.562 | Train Accuracy: 0.76 | Test Accuracy: 0.78
Generation: 32 | Best Fitness: 0.578 | Running Fitness: 0.562 | Train Accuracy: 0.76 | Test Accuracy: 0.78
Generation: 33 | Best Fitness: 0.578 | Running Fitness: 0.578 | Train Accuracy: 0.76 | Test Accuracy: 0.78
Generation: 34 | Best Fitness: 0.608 | Running Fitness: 0.608 | Train Accuracy: 0.78 | Test Accuracy: 0.82
Generation: 35 | Best Fitness: 0.608 | Running Fitness: 0.578 | Train Accuracy: 0.78 | Test Accuracy: 0.82
