################## Print Start ##################
Attributes: ['Outlook', 'Temperature', 'Humidity', 'Wind']
Target: PlayTennis
Classes: ['No' 'Yes']
Data size: 10
Attribute Values {'Outlook': array(['Overcast', 'Rain', 'Sunny'], dtype='<U8'), 'Temperature': array(['Cool', 'Hot', 'Mild'], dtype='<U8'), 'Humidity': array(['High', 'Normal'], dtype='<U8'), 'Wind': array(['Strong', 'Weak'], dtype='<U8')}
Individual Length: 11
Target encoding:  {'0': 'No', '1': 'Yes'}
################## Print End ##################

Generation: 0 | Best Fitness: 0.04 | Running Fitness: 0.04 | Train Accuracy: 0.2 | Test Accuracy: 0.25
Generation: 1 | Best Fitness: 0.09 | Running Fitness: 0.09 | Train Accuracy: 0.3 | Test Accuracy: 0.25
Generation: 2 | Best Fitness: 0.09 | Running Fitness: 0.09 | Train Accuracy: 0.3 | Test Accuracy: 0.25
Generation: 3 | Best Fitness: 0.25 | Running Fitness: 0.25 | Train Accuracy: 0.5 | Test Accuracy: 0.25
Generation: 4 | Best Fitness: 0.25 | Running Fitness: 0.25 | Train Accuracy: 0.5 | Test Accuracy: 0.25
Generation: 5 | Best Fitness: 0.25 | Running Fitness: 0.25 | Train Accuracy: 0.5 | Test Accuracy: 0.25
Generation: 6 | Best Fitness: 0.25 | Running Fitness: 0.25 | Train Accuracy: 0.5 | Test Accuracy: 0.25
Generation: 7 | Best Fitness: 0.25 | Running Fitness: 0.25 | Train Accuracy: 0.5 | Test Accuracy: 0.25
Generation: 8 | Best Fitness: 0.25 | Running Fitness: 0.25 | Train Accuracy: 0.5 | Test Accuracy: 0.25
Generation: 9 | Best Fitness: 0.25 | Running Fitness: 0.25 | Train Accuracy: 0.5 | Test Accuracy: 0.25
Generation: 10 | Best Fitness: 0.25 | Running Fitness: 0.25 | Train Accuracy: 0.5 | Test Accuracy: 0.25
Generation: 11 | Best Fitness: 0.25 | Running Fitness: 0.25 | Train Accuracy: 0.5 | Test Accuracy: 0.25
Generation: 12 | Best Fitness: 0.49 | Running Fitness: 0.49 | Train Accuracy: 0.7 | Test Accuracy: 0.25
Generation: 13 | Best Fitness: 0.49 | Running Fitness: 0.49 | Train Accuracy: 0.7 | Test Accuracy: 0.25
Generation: 14 | Best Fitness: 0.49 | Running Fitness: 0.49 | Train Accuracy: 0.7 | Test Accuracy: 0.25
Generation: 15 | Best Fitness: 0.49 | Running Fitness: 0.49 | Train Accuracy: 0.7 | Test Accuracy: 0.25
Generation: 16 | Best Fitness: 0.49 | Running Fitness: 0.49 | Train Accuracy: 0.7 | Test Accuracy: 0.25
Generation: 17 | Best Fitness: 0.49 | Running Fitness: 0.49 | Train Accuracy: 0.7 | Test Accuracy: 0.25
Generation: 18 | Best Fitness: 0.49 | Running Fitness: 0.49 | Train Accuracy: 0.7 | Test Accuracy: 0.25
Generation: 19 | Best Fitness: 0.49 | Running Fitness: 0.49 | Train Accuracy: 0.7 | Test Accuracy: 0.25
Generation: 20 | Best Fitness: 0.49 | Running Fitness: 0.49 | Train Accuracy: 0.7 | Test Accuracy: 0.25
Generation: 21 | Best Fitness: 0.49 | Running Fitness: 0.49 | Train Accuracy: 0.7 | Test Accuracy: 0.25
Generation: 22 | Best Fitness: 0.49 | Running Fitness: 0.49 | Train Accuracy: 0.7 | Test Accuracy: 0.25
Generation: 23 | Best Fitness: 0.49 | Running Fitness: 0.49 | Train Accuracy: 0.7 | Test Accuracy: 0.25
Generation: 24 | Best Fitness: 0.64 | Running Fitness: 0.64 | Train Accuracy: 0.8 | Test Accuracy: 0.5
Generation: 25 | Best Fitness: 0.64 | Running Fitness: 0.64 | Train Accuracy: 0.8 | Test Accuracy: 0.5
Generation: 26 | Best Fitness: 0.64 | Running Fitness: 0.64 | Train Accuracy: 0.8 | Test Accuracy: 0.5
Generation: 27 | Best Fitness: 0.64 | Running Fitness: 0.64 | Train Accuracy: 0.8 | Test Accuracy: 0.5
Generation: 28 | Best Fitness: 0.64 | Running Fitness: 0.64 | Train Accuracy: 0.8 | Test Accuracy: 0.5
Generation: 29 | Best Fitness: 0.64 | Running Fitness: 0.64 | Train Accuracy: 0.8 | Test Accuracy: 0.5
Generation: 30 | Best Fitness: 0.64 | Running Fitness: 0.64 | Train Accuracy: 0.8 | Test Accuracy: 0.5
Generation: 31 | Best Fitness: 0.64 | Running Fitness: 0.64 | Train Accuracy: 0.8 | Test Accuracy: 0.5
Generation: 32 | Best Fitness: 0.64 | Running Fitness: 0.64 | Train Accuracy: 0.8 | Test Accuracy: 0.5
Generation: 33 | Best Fitness: 0.64 | Running Fitness: 0.64 | Train Accuracy: 0.8 | Test Accuracy: 0.5
Generation: 34 | Best Fitness: 0.64 | Running Fitness: 0.64 | Train Accuracy: 0.8 | Test Accuracy: 0.5
Generation: 35 | Best Fitness: 0.64 | Running Fitness: 0.64 | Train Accuracy: 0.8 | Test Accuracy: 0.5
Generation: 36 | Best Fitness: 0.64 | Running Fitness: 0.64 | Train Accuracy: 0.8 | Test Accuracy: 0.5
Generation: 37 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 38 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 39 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 40 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 41 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 42 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 43 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 44 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 45 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 46 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 47 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 48 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 49 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 50 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 51 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 52 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 53 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 54 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 55 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 56 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 57 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 58 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 59 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
